t_s,ADC_mean
0,4065.66666666667
0.001,4064
0.002,4063.33333333333
0.003,4064.33333333333
0.004,4067
0.005,4065.33333333333
0.006,4065
0.007,4064
0.008,4063.66666666667
0.009,4065
0.01,4062.66666666667
0.011,4064.33333333333
0.012,4064.66666666667
0.013,4065
0.014,4065
0.015,4065.66666666667
0.016,4064.33333333333
0.017,4065.66666666667
0.018,4064.66666666667
0.019,4065.33333333333
0.02,4066.33333333333
0.021,4065
0.022,4064.66666666667
0.023,4062
0.024,4065
0.025,4063.66666666667
0.026,4065.66666666667
0.027,4067
0.028,4065.33333333333
0.029,4065.33333333333
0.03,4065.33333333333
0.031,4065.33333333333
0.032,4065.66666666667
0.033,4068
0.034,4066.33333333333
0.035,4064.33333333333
0.036,4065.33333333333
0.037,4064.33333333333
0.038,4067
0.039,4063.66666666667
0.04,4064.66666666667
0.041,4064.33333333333
0.042,4067
0.043,4065.66666666667
0.044,4065.33333333333
0.045,4065.33333333333
0.046,4065
0.047,4064.66666666667
0.048,4066.66666666667
0.049,4065.33333333333
0.05,4064.33333333333
0.051,4065.66666666667
0.052,4066
0.053,4064.33333333333
0.054,4065.33333333333
0.055,4065.66666666667
0.056,4066
0.057,4064
0.058,4066
0.059,4065
0.06,4065.66666666667
0.061,4064.66666666667
0.062,4067
0.063,4066
0.064,4065.33333333333
0.065,4067.66666666667
0.066,4064
0.067,4062.66666666667
0.068,4066.66666666667
0.069,4065
0.07,4067.33333333333
0.071,4066.33333333333
0.072,4063.33333333333
0.073,4065.33333333333
0.074,4065
0.075,4065
0.076,4062.66666666667
0.077,4065.33333333333
0.078,4065
0.079,4067.33333333333
0.08,4066
0.081,4065.33333333333
0.082,4066.66666666667
0.083,4064.66666666667
0.084,4065.33333333333
0.085,4064.66666666667
0.086,4067.33333333333
0.087,4062.66666666667
0.088,4064.33333333333
0.089,4065
0.09,4066.33333333333
0.091,4069.66666666667
0.092,4065.66666666667
0.093,4065.66666666667
0.094,4067
0.095,4064.33333333333
0.096,4064.66666666667
0.097,4065.66666666667
0.098,4065.66666666667
0.099,4064.66666666667
0.1,4064.33333333333
0.101,4065.33333333333
0.102,4062.66666666667
0.103,4064.66666666667
0.104,4065.66666666667
0.105,4062.66666666667
0.106,4066
0.107,4063.66666666667
0.108,4064
0.109,4065.33333333333
0.11,4064.66666666667
0.111,4065.66666666667
0.112,4065.66666666667
0.113,4065
0.114,4062.33333333333
0.115,4065.66666666667
0.116,4065
0.117,4064.33333333333
0.118,4065.33333333333
0.119,4067.33333333333
0.12,4065
0.121,4065.66666666667
0.122,4065.66666666667
0.123,4064
0.124,4064.33333333333
0.125,4064.66666666667
0.126,4065
0.127,4063
0.128,4064.66666666667
0.129,4065.33333333333
0.13,4064.66666666667
0.131,4063.33333333333
0.132,4064.33333333333
0.133,4064.33333333333
0.134,4065
0.135,4066.66666666667
0.136,4064.66666666667
0.137,4064
0.138,4065.66666666667
0.139,4064
0.14,4064.66666666667
0.141,4066.66666666667
0.142,4064.66666666667
0.143,4067.33333333333
0.144,4066
0.145,4065.33333333333
0.146,4066
0.147,4065.66666666667
0.148,4065.33333333333
0.149,4067
0.15,4065.33333333333
0.151,4065.33333333333
0.152,4063.66666666667
0.153,4064
0.154,4064.66666666667
0.155,4064.33333333333
0.156,4065.33333333333
0.157,4066.66666666667
0.158,4062.66666666667
0.159,4065.66666666667
0.16,4063.33333333333
0.161,4067.33333333333
0.162,4064
0.163,4066.33333333333
0.164,4065.33333333333
0.165,4065
0.166,4065
0.167,4064.33333333333
0.168,4064
0.169,4065.33333333333
0.17,4064.33333333333
0.171,4064.66666666667
0.172,4065.66666666667
0.173,4064.66666666667
0.174,4064.66666666667
0.175,4065
0.176,4064.33333333333
0.177,4065.33333333333
0.178,4063.33333333333
0.179,4065
0.18,4064.33333333333
0.181,4062
0.182,4066
0.183,4063.66666666667
0.184,4064.33333333333
0.185,4067
0.186,4065.33333333333
0.187,4065.66666666667
0.188,4065
0.189,4062.66666666667
0.19,4067
0.191,4065.33333333333
0.192,4067.33333333333
0.193,4064.33333333333
0.194,4063.66666666667
0.195,4065
0.196,4064.66666666667
0.197,4065.33333333333
0.198,4067.66666666667
0.199,4065.33333333333
0.2,4067.66666666667
0.201,4065
0.202,4064.66666666667
0.203,4065.33333333333
0.204,4062.33333333333
0.205,4068
0.206,4063.66666666667
0.207,4063.66666666667
0.208,4065.66666666667
0.209,4064.33333333333
0.21,4064.33333333333
0.211,4065.33333333333
0.212,4064.66666666667
0.213,4064
0.214,4065
0.215,4063
0.216,4065.33333333333
0.217,4065
0.218,4064.66666666667
0.219,4065
0.22,4064.66666666667
0.221,4064
0.222,4066
0.223,4066.66666666667
0.224,4066
0.225,4066
0.226,4065.33333333333
0.227,4065.33333333333
0.228,4064.66666666667
0.229,4065.66666666667
0.23,4066
0.231,4065.66666666667
0.232,4067
0.233,4065
0.234,4064.66666666667
0.235,4065.66666666667
0.236,4062.66666666667
0.237,4066
0.238,4066.33333333333
0.239,4066
0.24,4065.66666666667
0.241,4064.66666666667
0.242,4064.66666666667
0.243,4065
0.244,4065.66666666667
0.245,4066
0.246,4065.33333333333
0.247,4066.33333333333
0.248,4064.33333333333
0.249,4064.66666666667
0.25,4064.66666666667
0.251,4065
0.252,4064.66666666667
0.253,4065.66666666667
0.254,4067
0.255,4066.66666666667
0.256,4064.66666666667
0.257,4064.33333333333
0.258,4065
0.259,4067
0.26,4065.33333333333
0.261,4068
0.262,4065.66666666667
0.263,4064.66666666667
0.264,4062.66666666667
0.265,4067
0.266,4065.33333333333
0.267,4065
0.268,4065.66666666667
0.269,4063.33333333333
0.27,4065.66666666667
0.271,4066
0.272,4065.33333333333
0.273,4062.33333333333
0.274,4065.33333333333
0.275,4064.66666666667
0.276,4064.33333333333
0.277,4065.33333333333
0.278,4063.66666666667
0.279,4065.66666666667
0.28,4066.66666666667
0.281,4063.66666666667
0.282,4062.66666666667
0.283,4064
0.284,4065.33333333333
0.285,4064.33333333333
0.286,4064.66666666667
0.287,4065.33333333333
0.288,4065.66666666667
0.289,4067.33333333333
0.29,4064.66666666667
0.291,4065.33333333333
0.292,4062
0.293,4067.66666666667
0.294,4064.66666666667
0.295,4064
0.296,4064
0.297,4065.66666666667
0.298,4062
0.299,4066.33333333333
0.3,4064.33333333333
0.301,4065
0.302,4067
0.303,4064.66666666667
0.304,4064.33333333333
0.305,4064
0.306,4066.33333333333
0.307,4065
0.308,4065
0.309,4065.33333333333
0.31,4065.33333333333
0.311,4065.66666666667
0.312,4066.33333333333
0.313,4065
0.314,4065
0.315,4064
0.316,4067
0.317,4063.66666666667
0.318,4063
0.319,4064.33333333333
0.32,4062.66666666667
0.321,4063.33333333333
0.322,4066.66666666667
0.323,4064.33333333333
0.324,4066.33333333333
0.325,4065.66666666667
0.326,4064.66666666667
0.327,4064
0.328,4065
0.329,4066
0.33,4062.66666666667
0.331,4063.33333333333
0.332,4066
0.333,4064
0.334,4066
0.335,4065.66666666667
0.336,4064.33333333333
0.337,4062.66666666667
0.338,4065.33333333333
0.339,4063.66666666667
0.34,4064.33333333333
0.341,4067
0.342,4064.66666666667
0.343,4064.33333333333
0.344,4065.66666666667
0.345,4065
0.346,4065.66666666667
0.347,4065.33333333333
0.348,4064
0.349,4064
0.35,4065
0.351,4065
0.352,4066.33333333333
0.353,4065.66666666667
0.354,4064.33333333333
0.355,4064.66666666667
0.356,4064.66666666667
0.357,4064.66666666667
0.358,4065.66666666667
0.359,4065.66666666667
0.36,4065
0.361,4064.33333333333
0.362,4065.33333333333
0.363,4065
0.364,4064
0.365,4068
0.366,4064.66666666667
0.367,4063
0.368,4064.33333333333
0.369,4065
0.37,4065.33333333333
0.371,4065.66666666667
0.372,4064.66666666667
0.373,4064.33333333333
0.374,4065
0.375,4064
0.376,4064.33333333333
0.377,4064
0.378,4064
0.379,4065.66666666667
0.38,4065.33333333333
0.381,4065
0.382,4066.33333333333
0.383,4065.66666666667
0.384,4065.33333333333
0.385,4064.33333333333
0.386,4065.66666666667
0.387,4064.66666666667
0.388,4065.33333333333
0.389,4065.66666666667
0.39,4065
0.391,4065.66666666667
0.392,4063.66666666667
0.393,4064.66666666667
0.394,4065
0.395,4063.33333333333
0.396,4063.33333333333
0.397,4064
0.398,4065
0.399,4065.33333333333
0.4,4065.33333333333
0.401,4067.33333333333
0.402,4065.66666666667
0.403,4064.66666666667
0.404,4065.33333333333
0.405,4066.66666666667
0.406,4065
0.407,4065.66666666667
0.408,4066.33333333333
0.409,4065.33333333333
0.41,4063.66666666667
0.411,4065.33333333333
0.412,4064.66666666667
0.413,4065
0.414,4063.66666666667
0.415,4063.33333333333
0.416,4065.33333333333
0.417,4067.33333333333
0.418,4065.33333333333
0.419,4062.66666666667
0.42,4065
0.421,4066.66666666667
0.422,4066.33333333333
0.423,4065
0.424,4064.66666666667
0.425,4064.66666666667
0.426,4066.33333333333
0.427,4065.66666666667
0.428,4065.66666666667
0.429,4063.33333333333
0.43,4065
0.431,4064.66666666667
0.432,4065.33333333333
0.433,4066.66666666667
0.434,4065.66666666667
0.435,4066
0.436,4066.66666666667
0.437,4066.33333333333
0.438,4067
0.439,4065.66666666667
0.44,4062.33333333333
0.441,4067.66666666667
0.442,4065
0.443,4064.66666666667
0.444,4067.33333333333
0.445,4067
0.446,4065
0.447,4063.33333333333
0.448,4065.66666666667
0.449,4064.66666666667
0.45,4065
0.451,4064.66666666667
0.452,4065
0.453,4066
0.454,4065.33333333333
0.455,4067
0.456,4065.66666666667
0.457,4065
0.458,4064.66666666667
0.459,4065.66666666667
0.46,4067.33333333333
0.461,4065
0.462,4064.66666666667
0.463,4064.33333333333
0.464,4065.33333333333
0.465,4065.66666666667
0.466,4065.33333333333
0.467,4064.66666666667
0.468,4065
0.469,4064
0.47,4065
0.471,4064.66666666667
0.472,4065.33333333333
0.473,4066.33333333333
0.474,4065
0.475,4065.33333333333
0.476,4065
0.477,4064.33333333333
0.478,4064.33333333333
0.479,4065
0.48,4065.66666666667
0.481,4064.66666666667
0.482,4064.33333333333
0.483,4067
0.484,4065
0.485,4068.33333333333
0.486,4063
0.487,4065.66666666667
0.488,4064.66666666667
0.489,4066.66666666667
0.49,4067.33333333333
0.491,4066
0.492,4066.33333333333
0.493,4064.33333333333
0.494,4065.66666666667
0.495,4065.66666666667
0.496,4064.66666666667
0.497,4066.33333333333
0.498,4068
0.499,4067.66666666667
0.5,4065
0.501,4063.66666666667
0.502,4066
0.503,4063.66666666667
0.504,4067
0.505,4067.66666666667
0.506,4064
0.507,4064.66666666667
0.508,4064
0.509,4065.33333333333
0.51,4065.33333333333
0.511,4064.66666666667
0.512,4065
0.513,4065.66666666667
0.514,4065
0.515,4064.66666666667
0.516,4065.33333333333
0.517,4065
0.518,4064
0.519,4067.33333333333
0.52,4064.33333333333
0.521,4065.66666666667
0.522,4066
0.523,4066
0.524,4065
0.525,4063.66666666667
0.526,4064.66666666667
0.527,4065.66666666667
0.528,4062
0.529,4066
0.53,4064.66666666667
0.531,4065
0.532,4067
0.533,4065.33333333333
0.534,4062.33333333333
0.535,4065
0.536,4065.66666666667
0.537,4064.66666666667
0.538,4067
0.539,4062
0.54,4066.33333333333
0.541,4064.66666666667
0.542,4064.66666666667
0.543,4067.33333333333
0.544,4065.33333333333
0.545,4065.66666666667
0.546,4064
0.547,4064.66666666667
0.548,4064
0.549,4065.66666666667
0.55,4064.33333333333
0.551,4063.66666666667
0.552,4065
0.553,4063.33333333333
0.554,4065
0.555,4064
0.556,4066.66666666667
0.557,4064.33333333333
0.558,4067.33333333333
0.559,4065
0.56,4065
0.561,4067.33333333333
0.562,4065
0.563,4064.33333333333
0.564,4065.66666666667
0.565,4065
0.566,4065.33333333333
0.567,4065
0.568,4064
0.569,4065.66666666667
0.57,4064
0.571,4063.33333333333
0.572,4064.66666666667
0.573,4065.33333333333
0.574,4065.33333333333
0.575,4067.33333333333
0.576,4065
0.577,4066.66666666667
0.578,4065
0.579,4064.66666666667
0.58,4064.33333333333
0.581,4061.66666666667
0.582,4064.66666666667
0.583,4065
0.584,4065
0.585,4065
0.586,4065.33333333333
0.587,4066.33333333333
0.588,4066
0.589,4066
0.59,4065.66666666667
0.591,4063
0.592,4065.33333333333
0.593,4065
0.594,4067.33333333333
0.595,4063.33333333333
0.596,4066
0.597,4066
0.598,4065.66666666667
0.599,4064.33333333333
0.6,4066.33333333333
0.601,4063.66666666667
0.602,4064.66666666667
0.603,4069
0.604,4064.33333333333
0.605,4065.33333333333
0.606,4064
0.607,4067.66666666667
0.608,4065
0.609,4064.66666666667
0.61,4066.33333333333
