t_s,ADC_mean
0,2184.33333333333
0.001,2147.33333333333
0.002,2152.66666666667
0.003,2144.33333333333
0.004,2153.66666666667
0.005,2159
0.006,2161.33333333333
0.007,2155.33333333333
0.008,2159.66666666667
0.009,2148.66666666667
0.01,2148.66666666667
0.011,2172
0.012,2150
0.013,2162.33333333333
0.014,2148.66666666667
0.015,2161
0.016,2166
0.017,2170.33333333333
0.018,2161.66666666667
0.019,2158.66666666667
0.02,2157.33333333333
0.021,2164
0.022,2166.66666666667
0.023,2157
0.024,2137.33333333333
0.025,2137.33333333333
0.026,2137.33333333333
0.027,2141.33333333333
0.028,2144
0.029,2139.66666666667
0.03,2136.66666666667
0.031,2139
0.032,2141.33333333333
0.033,2142.66666666667
0.034,2140.66666666667
0.035,2145
0.036,2142.66666666667
0.037,2133.66666666667
0.038,2139.33333333333
0.039,2142.33333333333
0.04,2156.66666666667
0.041,2134.66666666667
0.042,2146.66666666667
0.043,2133
0.044,2142
0.045,2142
0.046,2134.66666666667
0.047,2135
0.048,2140
0.049,2133.33333333333
0.05,2132.33333333333
0.051,2137
0.052,2136.33333333333
0.053,2135.66666666667
0.054,2141.33333333333
0.055,2138
0.056,2139.33333333333
0.057,2135.66666666667
0.058,2141.33333333333
0.059,2140.66666666667
0.06,2139
0.061,2144
0.062,2138.33333333333
0.063,2141.66666666667
0.064,2137.66666666667
0.065,2138
0.066,2137.33333333333
0.067,2142.33333333333
0.068,2138.33333333333
0.069,2138.66666666667
0.07,2138.33333333333
0.071,2135.66666666667
0.072,2146.66666666667
0.073,2139.66666666667
0.074,2136.66666666667
0.075,2139.33333333333
0.076,2143
0.077,2143.66666666667
0.078,2140.33333333333
0.079,2135.33333333333
0.08,2136.33333333333
0.081,2135
0.082,2135.33333333333
0.083,2134
0.084,2135
0.085,2139.33333333333
0.086,2142.33333333333
0.087,2141.33333333333
0.088,2130.66666666667
0.089,2139.66666666667
0.09,2142.33333333333
0.091,2138.66666666667
0.092,2134.33333333333
0.093,2135.66666666667
0.094,2134.66666666667
0.095,2141.33333333333
0.096,2142.66666666667
0.097,2138.66666666667
0.098,2139.33333333333
0.099,2139
0.1,2136.33333333333
0.101,2134.33333333333
0.102,2135.33333333333
0.103,2138.66666666667
0.104,2133.33333333333
0.105,2136.33333333333
0.106,2134
0.107,2134
0.108,2151.66666666667
0.109,2136.33333333333
0.11,2138
0.111,2141
0.112,2141.33333333333
0.113,2136
0.114,2139.33333333333
0.115,2142.33333333333
0.116,2131.33333333333
0.117,2133
0.118,2138.33333333333
0.119,2135
0.12,2141.33333333333
0.121,2137.66666666667
0.122,2138.33333333333
0.123,2138
0.124,2139.66666666667
0.125,2141.66666666667
0.126,2141.33333333333
0.127,2137
0.128,2137
0.129,2135.33333333333
0.13,2138
0.131,2135.33333333333
0.132,2130.33333333333
0.133,2139.66666666667
0.134,2137.33333333333
0.135,2136.33333333333
0.136,2141.66666666667
0.137,2142
0.138,2139
0.139,2136
0.14,2138.66666666667
0.141,2133.33333333333
0.142,2138.33333333333
0.143,2137.66666666667
0.144,2135
0.145,2135
0.146,2140.66666666667
0.147,2143.33333333333
0.148,2136.33333333333
0.149,2141.66666666667
0.15,2138.33333333333
0.151,2141.33333333333
0.152,2135
0.153,2140.33333333333
0.154,2135
0.155,2134
0.156,2142.66666666667
0.157,2141.33333333333
0.158,2136
0.159,2137.66666666667
0.16,2137.66666666667
0.161,2138
0.162,2139.33333333333
0.163,2134.66666666667
0.164,2142
0.165,2139
0.166,2137.33333333333
0.167,2142.66666666667
0.168,2138
0.169,2136
0.17,2136.66666666667
0.171,2134.66666666667
0.172,2132.33333333333
0.173,2138.66666666667
0.174,2135.66666666667
0.175,2138.33333333333
0.176,2133.66666666667
0.177,2139.33333333333
0.178,2134
0.179,2142.66666666667
0.18,2140.66666666667
0.181,2139.33333333333
0.182,2134.33333333333
0.183,2138
0.184,2134.33333333333
0.185,2140.66666666667
0.186,2140.66666666667
0.187,2139.33333333333
0.188,2140.66666666667
0.189,2138.33333333333
0.19,2137
0.191,2139.33333333333
0.192,2141.33333333333
0.193,2136.33333333333
0.194,2137
0.195,2142
0.196,2131
0.197,2141.33333333333
0.198,2142.33333333333
0.199,2142.33333333333
0.2,2137
0.201,2137.66666666667
0.202,2138.66666666667
0.203,2136
0.204,2134.33333333333
0.205,2143
0.206,2136.66666666667
0.207,2137.66666666667
0.208,2138.66666666667
0.209,2137.33333333333
0.21,2144.66666666667
0.211,2135.33333333333
0.212,2139
0.213,2136
0.214,2132.66666666667
0.215,2138.66666666667
0.216,2138.33333333333
0.217,2142.66666666667
0.218,2137.66666666667
