t,y
0,2500
0.001,2472
0.002,2454
0.003,2452
0.004,2478
0.005,2507
0.006,2451
0.007,2452
0.008,2455
0.009,2472
0.01,2486
0.011,2476
0.012,2484
0.013,2476
0.014,2474
0.015,2474
0.016,2488
0.017,2455
0.018,2466
0.019,2487
0.02,2477
0.021,2475
0.022,2472
0.023,2477
0.024,2476
0.025,2482
0.026,2479
0.027,2455
0.028,2447
0.029,2446
0.03,2445
0.031,2454
0.032,2454
0.033,2452
0.034,2457
0.035,2454
0.036,2463
0.037,2460
0.038,2461
0.039,2454
0.04,2447
0.041,2457
0.042,2449
0.043,2453
0.044,2453
0.045,2452
0.046,2452
0.047,2447
0.048,2457
0.049,2447
0.05,2457
0.051,2459
0.052,2451
0.053,2456
0.054,2455
0.055,2451
0.056,2455
0.057,2460
0.058,2452
0.059,2459
0.06,2455
0.061,2451
0.062,2467
0.063,2485
0.064,2444
0.065,2450
0.066,2455
0.067,2456
0.068,2458
0.069,2455
0.07,2453
0.071,2459
0.072,2446
0.073,2451
0.074,2458
0.075,2462
0.076,2459
0.077,2455
0.078,2464
0.079,2453
0.08,2466
0.081,2452
0.082,2446
0.083,2456
0.084,2448
0.085,2455
0.086,2461
0.087,2446
0.088,2443
0.089,2449
0.09,2449
0.091,2463
0.092,2458
0.093,2456
0.094,2461
0.095,2479
0.096,2453
0.097,2456
0.098,2456
0.099,2448
0.1,2455
0.101,2442
0.102,2459
0.103,2455
0.104,2448
0.105,2447
0.106,2454
0.107,2452
0.108,2446
0.109,2452
0.11,2447
0.111,2457
0.112,2446
0.113,2452
0.114,2462
0.115,2453
0.116,2460
0.117,2461
0.118,2444
0.119,2458
0.12,2444
0.121,2445
0.122,2446
0.123,2454
0.124,2456
0.125,2445
0.126,2449
0.127,2446
0.128,2451
0.129,2443
0.13,2450
0.131,2458
0.132,2471
0.133,2446
0.134,2460
0.135,2464
0.136,2450
0.137,2450
0.138,2463
0.139,2449
0.14,2446
0.141,2461
0.142,2457
0.143,2451
0.144,2450
0.145,2457
0.146,2462
0.147,2447
0.148,2451
0.149,2462
0.15,2461
0.151,2451
0.152,2449
0.153,2448
0.154,2454
0.155,2452
0.156,2459
0.157,2450
0.158,2450
0.159,2460
0.16,2462
0.161,2458
0.162,2450
0.163,2452
0.164,2460
0.165,2454
0.166,2449
0.167,2454
0.168,2476
0.169,2454
0.17,2459
0.171,2447
0.172,2453
0.173,2449
0.174,2450
0.175,2445
0.176,2454
0.177,2461
0.178,2447
0.179,2461
0.18,2462
0.181,2449
0.182,2453
0.183,2455
0.184,2456
0.185,2447
0.186,2448
0.187,2465
0.188,2445
0.189,2462
0.19,2454
0.191,2460
0.192,2448
0.193,2452
0.194,2451
0.195,2455
0.196,2459
0.197,2453
0.198,2450
0.199,2458
0.2,2454
0.201,2464
0.202,2460
0.203,2452
0.204,2457
0.205,2470
0.206,2445
0.207,2451
0.208,2453
0.209,2457
0.21,2452
0.211,2455
0.212,2455
0.213,2449
0.214,2461
0.215,2447
0.216,2450
0.217,2455
0.218,2451
0.219,2450
0.22,2456
0.221,2458
0.222,2455
0.223,2453
0.224,2461
0.225,2453
0.226,2458
0.227,2449
0.228,2451
0.229,2457
0.23,2463
0.231,2452
0.232,2456
0.233,2453
0.234,2458
0.235,2456
0.236,2448
0.237,2456
0.238,2454
0.239,2455
0.24,2458
0.241,2446
