t_s,ADC_mean
0,2226.66666666667
0.001,2209.66666666667
0.002,2184
0.003,2203
0.004,2189
0.005,2176
0.006,2175.66666666667
0.007,2179.66666666667
0.008,2181
0.009,2171.33333333333
0.01,2174.33333333333
0.011,2174.33333333333
0.012,2176
0.013,2183.33333333333
0.014,2195.66666666667
0.015,2177
0.016,2178.66666666667
0.017,2178.66666666667
0.018,2183.33333333333
0.019,2194.66666666667
0.02,2181
0.021,2179.66666666667
0.022,2175.66666666667
0.023,2177.33333333333
0.024,2176.33333333333
0.025,2172.33333333333
0.026,2174.66666666667
0.027,2177.33333333333
0.028,2175.66666666667
0.029,2174.33333333333
0.03,2179.33333333333
0.031,2176
0.032,2180.66666666667
0.033,2176.66666666667
0.034,2172.33333333333
0.035,2182
0.036,2189
0.037,2179.33333333333
0.038,2177.33333333333
0.039,2179.33333333333
0.04,2173.33333333333
0.041,2175.66666666667
0.042,2178.66666666667
0.043,2174
0.044,2172.66666666667
0.045,2179.33333333333
0.046,2175.66666666667
0.047,2179.66666666667
0.048,2182.66666666667
0.049,2188
0.05,2180
0.051,2174.33333333333
0.052,2172.33333333333
0.053,2179.66666666667
0.054,2176
0.055,2176
0.056,2194.33333333333
0.057,2181.66666666667
0.058,2176.66666666667
0.059,2178.33333333333
0.06,2172
0.061,2181.66666666667
0.062,2180.33333333333
0.063,2174.33333333333
0.064,2180.66666666667
0.065,2175.66666666667
0.066,2174.33333333333
0.067,2171.66666666667
0.068,2189.33333333333
0.069,2178
0.07,2174
0.071,2178.33333333333
0.072,2179.33333333333
0.073,2175.66666666667
0.074,2172
0.075,2179.66666666667
0.076,2178.66666666667
0.077,2176.33333333333
0.078,2168.33333333333
0.079,2179.66666666667
0.08,2175.66666666667
0.081,2180.33333333333
0.082,2179
0.083,2177
0.084,2176
0.085,2173
0.086,2182
0.087,2184.66666666667
0.088,2177.33333333333
0.089,2176.66666666667
0.09,2178
0.091,2174
0.092,2180.33333333333
0.093,2186
0.094,2178.33333333333
0.095,2180.33333333333
0.096,2175
0.097,2179.33333333333
0.098,2170.33333333333
0.099,2177.66666666667
0.1,2177.66666666667
0.101,2171.66666666667
0.102,2174.66666666667
0.103,2176.66666666667
0.104,2182
0.105,2181
0.106,2174.66666666667
0.107,2178.66666666667
0.108,2175
0.109,2175.66666666667
0.11,2180.33333333333
0.111,2172.66666666667
0.112,2173.66666666667
0.113,2178.66666666667
0.114,2167.33333333333
0.115,2178.66666666667
0.116,2174
0.117,2170
0.118,2175.33333333333
0.119,2181.66666666667
0.12,2180.66666666667
0.121,2175.33333333333
0.122,2176.33333333333
0.123,2178
0.124,2181.66666666667
0.125,2179.66666666667
0.126,2186.33333333333
0.127,2178.33333333333
0.128,2179
0.129,2177.33333333333
0.13,2178.66666666667
0.131,2192.66666666667
0.132,2173
0.133,2178.33333333333
0.134,2170
0.135,2176.66666666667
0.136,2178.33333333333
0.137,2174
0.138,2187.66666666667
0.139,2171.33333333333
0.14,2178
0.141,2176
0.142,2173
0.143,2172
0.144,2174.33333333333
0.145,2167.66666666667
0.146,2181.33333333333
0.147,2185.66666666667
0.148,2177
0.149,2176.33333333333
0.15,2181.33333333333
0.151,2175.33333333333
0.152,2172.66666666667
0.153,2175
0.154,2173.66666666667
0.155,2183
0.156,2178
0.157,2176.66666666667
0.158,2181
0.159,2177.33333333333
0.16,2172
0.161,2179
0.162,2176
0.163,2180.66666666667
0.164,2181.33333333333
0.165,2177.66666666667
0.166,2191
0.167,2176.33333333333
0.168,2174.33333333333
0.169,2175.33333333333
0.17,2191.66666666667
0.171,2188.66666666667
0.172,2178.33333333333
0.173,2171.66666666667
0.174,2174.66666666667
0.175,2179.33333333333
0.176,2175.66666666667
0.177,2177.33333333333
0.178,2179
0.179,2178.66666666667
0.18,2176
0.181,2176.33333333333
0.182,2175
0.183,2170
0.184,2178.66666666667
0.185,2177.33333333333
0.186,2170
0.187,2175.33333333333
0.188,2179.66666666667
0.189,2176
0.19,2170
0.191,2174.66666666667
0.192,2179
0.193,2174.33333333333
0.194,2173.33333333333
0.195,2179.66666666667
0.196,2178.66666666667
0.197,2179
0.198,2179
0.199,2179.66666666667
0.2,2170
0.201,2177
0.202,2184.33333333333
0.203,2189.33333333333
0.204,2177.66666666667
0.205,2186.33333333333
0.206,2171
0.207,2186
0.208,2176.33333333333
0.209,2176
0.21,2174
0.211,2180.66666666667
0.212,2175.66666666667
0.213,2177
0.214,2174.66666666667
0.215,2176
0.216,2175.66666666667
0.217,2173.33333333333
0.218,2179.66666666667
0.219,2178.66666666667
0.22,2178.66666666667
0.221,2176
0.222,2175.33333333333
0.223,2173.66666666667
0.224,2174.33333333333
0.225,2177.66666666667
0.226,2173
0.227,2174
0.228,2169.33333333333
0.229,2178.33333333333
0.23,2180.66666666667
0.231,2176
