t_s,ADC_mean
0,2157
0.001,2139.5
0.002,2107.5
0.003,2128
0.004,2098.5
0.005,2095.5
0.006,2107.5
0.007,2108
0.008,2105.5
0.009,2105
0.01,2102.5
0.011,2106.5
0.012,2104.5
0.013,2102.5
0.014,2105.5
0.015,2107.5
0.016,2113
0.017,2109
0.018,2103
0.019,2096.5
0.02,2100
0.021,2137
0.022,2103
0.023,2133
0.024,2103.5
0.025,2098.5
0.026,2100
0.027,2101
0.028,2100.5
0.029,2110
0.03,2106
0.031,2107.5
0.032,2099.5
0.033,2104
0.034,2104.5
0.035,2106
0.036,2107.5
0.037,2109
0.038,2106.5
0.039,2106.5
0.04,2105
0.041,2105
0.042,2102
0.043,2100
0.044,2108.5
0.045,2103
0.046,2109
0.047,2107.5
0.048,2102
0.049,2109.5
0.05,2107
0.051,2105
0.052,2109
0.053,2100.5
0.054,2106.5
0.055,2107.5
0.056,2128.5
0.057,2105.5
0.058,2105.5
0.059,2110
0.06,2100
0.061,2100.5
0.062,2098.5
0.063,2125.5
0.064,2108.5
0.065,2111
0.066,2108.5
0.067,2106.5
0.068,2101.5
0.069,2109
0.07,2102
0.071,2110.5
0.072,2104.5
0.073,2105
0.074,2103.5
0.075,2104
0.076,2113
0.077,2107.5
0.078,2108
0.079,2104
0.08,2109.5
0.081,2104.5
0.082,2104.5
0.083,2110.5
0.084,2099
0.085,2110
0.086,2109
0.087,2114
0.088,2124
0.089,2108.5
0.09,2105.5
0.091,2103.5
0.092,2102.5
0.093,2106
0.094,2101
0.095,2108
0.096,2108
0.097,2108.5
0.098,2106.5
0.099,2116
0.1,2110.5
0.101,2110.5
0.102,2100
0.103,2099
0.104,2102
0.105,2111
0.106,2101
0.107,2106
0.108,2114
0.109,2103
0.11,2104
0.111,2105.5
0.112,2108
0.113,2112
0.114,2102.5
0.115,2100.5
0.116,2106.5
0.117,2108.5
0.118,2110
0.119,2106.5
0.12,2102.5
0.121,2127.5
0.122,2107
0.123,2101
0.124,2112
0.125,2103.5
0.126,2110.5
0.127,2105
0.128,2103
0.129,2103.5
0.13,2109.5
0.131,2108.5
0.132,2111.5
0.133,2105.5
0.134,2102
0.135,2120
0.136,2103.5
0.137,2101.5
0.138,2100
0.139,2114
0.14,2107.5
0.141,2099
0.142,2105
0.143,2103
0.144,2107.5
0.145,2102.5
0.146,2105
0.147,2107
0.148,2106
0.149,2109
0.15,2102.5
0.151,2104.5
0.152,2100.5
0.153,2109
0.154,2109
0.155,2116.5
0.156,2105
0.157,2105
0.158,2103.5
0.159,2108.5
0.16,2104
0.161,2101.5
0.162,2098.5
0.163,2113.5
0.164,2100.5
0.165,2104.5
0.166,2108.5
0.167,2107.5
0.168,2106.5
0.169,2101
0.17,2110.5
0.171,2101
0.172,2099
0.173,2115.5
0.174,2104
0.175,2101
0.176,2105.5
0.177,2107
0.178,2109
0.179,2103.5
0.18,2106
0.181,2106
0.182,2112.5
0.183,2103.5
0.184,2101.5
0.185,2102
0.186,2110
0.187,2131.5
0.188,2108
0.189,2104.5
0.19,2095.5
0.191,2108.5
0.192,2099.5
0.193,2103
0.194,2111
0.195,2102.5
0.196,2104.5
0.197,2106.5
0.198,2100.5
0.199,2105
0.2,2104
0.201,2108.5
0.202,2104
0.203,2102.5
0.204,2111.5
0.205,2101.5
0.206,2111.5
0.207,2100.5
0.208,2106
0.209,2102.5
0.21,2099.5
0.211,2108
0.212,2122.5
0.213,2103
0.214,2109
0.215,2104.5
0.216,2105
0.217,2107
0.218,2103
0.219,2122.5
0.22,2103.5
0.221,2101
0.222,2105
0.223,2102
0.224,2108
0.225,2095.5
0.226,2106.5
0.227,2107.5
0.228,2105
0.229,2107.5
0.23,2108.5
0.231,2098.5
0.232,2107
0.233,2103.5
0.234,2103
0.235,2111
0.236,2108.5
0.237,2103.5
0.238,2105.5
0.239,2104
0.24,2106.5
0.241,2101.5
0.242,2105.5
0.243,2111
0.244,2107
0.245,2104.5
0.246,2112.5
0.247,2107
