t,y
0,2992
0.001,2970
0.002,2927
0.003,2923
0.004,2928
0.005,2936
0.006,2923
0.007,2925
0.008,2930
0.009,2942
0.01,2928
0.011,2925
0.012,2931
0.013,2931
0.014,2931
0.015,2923
0.016,2924
0.017,2922
0.018,2928
0.019,2930
0.02,2928
0.021,2934
0.022,2976
0.023,2928
0.024,2920
0.025,2940
0.026,2923
0.027,2931
0.028,2936
0.029,2929
0.03,2932
0.031,2918
0.032,2931
0.033,2936
0.034,2929
0.035,2927
0.036,2926
0.037,2929
0.038,2931
0.039,2933
0.04,2935
0.041,2930
0.042,2927
0.043,2926
0.044,2931
0.045,2921
0.046,2927
0.047,2923
0.048,2916
0.049,2936
0.05,2927
0.051,2921
0.052,2927
0.053,2918
0.054,2924
0.055,2927
0.056,2923
0.057,2923
0.058,2936
0.059,2935
0.06,2930
0.061,2979
0.062,2927
0.063,2937
0.064,2941
0.065,2919
0.066,2932
0.067,2930
0.068,2930
0.069,2935
0.07,2925
0.071,2932
0.072,2926
0.073,2924
0.074,2928
0.075,2916
0.076,2927
0.077,2927
0.078,2925
0.079,2928
0.08,2930
0.081,2932
0.082,2917
0.083,2933
0.084,2933
0.085,2923
0.086,2930
0.087,2918
0.088,2920
0.089,2920
0.09,2936
0.091,2935
0.092,2936
0.093,2924
0.094,2913
0.095,2936
0.096,2918
0.097,2933
0.098,2968
0.099,2932
0.1,2920
0.101,2926
0.102,2931
0.103,2931
0.104,2922
0.105,2931
0.106,2927
0.107,2935
0.108,2923
0.109,2921
0.11,2921
0.111,2931
0.112,2927
0.113,2930
0.114,2921
0.115,2926
0.116,2935
0.117,2936
0.118,2920
0.119,2931
0.12,2923
0.121,2933
0.122,2927
0.123,2925
0.124,2925
0.125,2922
0.126,2932
0.127,2929
0.128,2931
0.129,2933
0.13,2926
0.131,2926
0.132,2931
0.133,2922
0.134,2927
0.135,2930
0.136,2931
0.137,2965
0.138,2920
0.139,2921
0.14,2925
0.141,2930
0.142,2927
0.143,2929
0.144,2927
0.145,2928
0.146,2929
0.147,2932
0.148,2923
0.149,2923
0.15,2921
0.151,2920
0.152,2921
0.153,2927
0.154,2928
0.155,2932
0.156,2939
0.157,2930
0.158,2912
0.159,2922
0.16,2933
0.161,2917
0.162,2923
0.163,2933
0.164,2931
0.165,2923
0.166,2927
0.167,2923
0.168,2926
0.169,2934
0.17,2917
0.171,2922
0.172,2916
0.173,2931
0.174,2933
0.175,2934
0.176,2927
0.177,2978
0.178,2930
0.179,2921
0.18,2923
0.181,2928
0.182,2931
0.183,2928
0.184,2926
0.185,2934
0.186,2927
0.187,2929
0.188,2935
0.189,2922
0.19,2932
0.191,2925
0.192,2930
0.193,2927
0.194,2937
0.195,2924
0.196,2930
0.197,2929
0.198,2932
0.199,2929
0.2,2928
0.201,2922
0.202,2925
0.203,2936
0.204,2926
0.205,2926
0.206,2918
0.207,2932
0.208,2924
0.209,2923
0.21,2927
0.211,2928
0.212,2928
0.213,2934
0.214,2930
0.215,2956
0.216,2931
0.217,2924
0.218,2928
0.219,2922
0.22,2921
0.221,2935
0.222,2925
0.223,2922
0.224,2925
0.225,2923
0.226,2929
0.227,2932
0.228,2925
0.229,2937
0.23,2935
0.231,2923
0.232,2930
0.233,2918
0.234,2932
0.235,2922
0.236,2919
0.237,2929
0.238,2926
0.239,2924
0.24,2927
0.241,2923
0.242,2918
0.243,2929
0.244,2929
0.245,2934
0.246,2922
0.247,2925
0.248,2934
0.249,2928
0.25,2929
0.251,2930
0.252,2927
0.253,2921
0.254,2962
0.255,2931
0.256,2931
0.257,2934
0.258,2927
0.259,2926
0.26,2932
0.261,2931
0.262,2931
0.263,2930
0.264,2919
0.265,2934
0.266,2936
0.267,2928
0.268,2914
0.269,2927
0.27,2931
0.271,2932
0.272,2917
0.273,2920
0.274,2930
0.275,2927
0.276,2934
0.277,2937
0.278,2932
0.279,2933
0.28,2931
0.281,2934
0.282,2930
0.283,2922
0.284,2925
0.285,2927
0.286,2931
0.287,2914
0.288,2924
0.289,2935
0.29,2930
0.291,2932
0.292,2954
0.293,2926
0.294,2923
0.295,2928
0.296,2925
0.297,2935
0.298,2928
0.299,2931
0.3,2938
0.301,2923
0.302,2928
0.303,2919
0.304,2932
0.305,2925
0.306,2932
0.307,2931
0.308,2927
0.309,2933
0.31,2933
0.311,2920
0.312,2933
0.313,2926
0.314,2924
0.315,2921
0.316,2926
0.317,2931
0.318,2935
0.319,2930
0.32,2925
0.321,2928
0.322,2928
0.323,2927
0.324,2922
0.325,2933
0.326,2933
0.327,2925
0.328,2921
0.329,2924
0.33,2927
0.331,2949
0.332,2916
0.333,2926
0.334,2924
0.335,2925
0.336,2927
0.337,2914
0.338,2934
0.339,2931
0.34,2935
0.341,2927
0.342,2927
0.343,2921
0.344,2929
0.345,2930
0.346,2937
0.347,2926
0.348,2922
0.349,2918
0.35,2936
0.351,2938
0.352,2923
0.353,2929
0.354,2925
0.355,2936
0.356,2924
0.357,2923
0.358,2931
0.359,2939
0.36,2924
0.361,2924
0.362,2935
0.363,2936
0.364,2937
0.365,2923
0.366,2922
0.367,2970
0.368,2921
0.369,2937
0.37,2927
0.371,2925
0.372,2922
0.373,2935
0.374,2934
0.375,2928
0.376,2929
0.377,2931
0.378,2936
0.379,2930
0.38,2938
0.381,2918
0.382,2931
0.383,2937
0.384,2928
0.385,2933
0.386,2926
0.387,2931
0.388,2937
0.389,2924
0.39,2927
0.391,2928
0.392,2929
0.393,2932
0.394,2928
0.395,2920
0.396,2928
0.397,2929
0.398,2922
0.399,2929
0.4,2957
0.401,2922
0.402,2927
0.403,2920
0.404,2927
0.405,2933
0.406,2924
0.407,2922
0.408,2928
0.409,2927
0.41,2940
0.411,2938
0.412,2922
0.413,2928
0.414,2935
0.415,2925
0.416,2938
0.417,2919
0.418,2939
0.419,2932
0.42,2931
0.421,2924
0.422,2926
0.423,2927
0.424,2925
0.425,2928
0.426,2922
0.427,2919
0.428,2929
0.429,2924
0.43,2933
0.431,2919
0.432,2932
0.433,2932
0.434,2944
0.435,2933
0.436,2927
0.437,2929
0.438,2924
0.439,2929
0.44,2923
0.441,2924
0.442,2919
0.443,2933
0.444,2931
0.445,2925
0.446,2929
0.447,2929
0.448,2931
0.449,2928
0.45,2936
0.451,2924
0.452,2920
0.453,2928
0.454,2927
0.455,2927
0.456,2919
0.457,2935
0.458,2935
0.459,2927
0.46,2919
0.461,2926
0.462,2930
0.463,2923
0.464,2930
0.465,2930
0.466,2936
0.467,2939
0.468,2938
0.469,2927
0.47,2919
0.471,2933
0.472,2952
0.473,2931
