t_s,ADC_mean
0,1152.66666666667
0.001,1142.66666666667
0.002,1141
0.003,1137.66666666667
0.004,1139
0.005,1142.33333333333
0.006,1143
0.007,1140
0.008,1140.33333333333
0.009,1142.33333333333
0.01,1139
0.011,1150
0.012,1144.66666666667
0.013,1137.66666666667
0.014,1141.66666666667
0.015,1141.66666666667
0.016,1144
0.017,1146.66666666667
0.018,1143.33333333333
0.019,1140.66666666667
0.02,1135.33333333333
0.021,1147
0.022,1136
0.023,1138.66666666667
0.024,1138.66666666667
0.025,1141
0.026,1143.33333333333
0.027,1142.66666666667
0.028,1137.33333333333
0.029,1144.33333333333
0.03,1142.33333333333
0.031,1135
0.032,1144.66666666667
0.033,1144.66666666667
0.034,1141.33333333333
0.035,1138.33333333333
0.036,1138
0.037,1143.66666666667
0.038,1148.33333333333
0.039,1145
0.04,1135.33333333333
0.041,1141.33333333333
0.042,1141.33333333333
0.043,1139.33333333333
0.044,1140.66666666667
0.045,1142.33333333333
0.046,1144
0.047,1149.66666666667
0.048,1140
0.049,1142.33333333333
0.05,1144
0.051,1138.66666666667
0.052,1138.33333333333
0.053,1138
0.054,1142
0.055,1140
0.056,1139.66666666667
0.057,1143.66666666667
0.058,1144
0.059,1133
0.06,1143
0.061,1140.66666666667
0.062,1134.66666666667
0.063,1136.66666666667
0.064,1140.66666666667
0.065,1139.33333333333
0.066,1139
0.067,1137.33333333333
0.068,1134.66666666667
0.069,1137.66666666667
0.07,1136.66666666667
0.071,1143
0.072,1137.66666666667
0.073,1142
0.074,1139
0.075,1143.66666666667
0.076,1142.33333333333
0.077,1130.66666666667
0.078,1143
0.079,1138.33333333333
0.08,1142
0.081,1135.66666666667
0.082,1140
0.083,1141.66666666667
0.084,1139.66666666667
0.085,1139.33333333333
0.086,1145
0.087,1138.66666666667
0.088,1140.66666666667
0.089,1145.33333333333
0.09,1136
0.091,1137.33333333333
0.092,1137.33333333333
0.093,1143.33333333333
0.094,1141.33333333333
0.095,1136.33333333333
0.096,1144
0.097,1139.66666666667
0.098,1142.33333333333
0.099,1144.66666666667
0.1,1137
0.101,1141.33333333333
0.102,1139.33333333333
0.103,1137.66666666667
0.104,1140.66666666667
0.105,1141.66666666667
0.106,1144
0.107,1137.66666666667
0.108,1143
0.109,1142
0.11,1138.66666666667
0.111,1143
0.112,1142.66666666667
0.113,1142
0.114,1138.33333333333
0.115,1140
0.116,1144.66666666667
0.117,1143.66666666667
0.118,1142
0.119,1138
0.12,1138.33333333333
0.121,1140.66666666667
0.122,1138.66666666667
0.123,1140.33333333333
0.124,1140
0.125,1138.33333333333
0.126,1140.66666666667
0.127,1144.33333333333
0.128,1135.66666666667
0.129,1135.33333333333
0.13,1139
0.131,1142.33333333333
0.132,1136.33333333333
0.133,1139.66666666667
0.134,1140
0.135,1140
0.136,1143
0.137,1145
0.138,1138
0.139,1141
0.14,1143.33333333333
0.141,1144.33333333333
0.142,1145.66666666667
0.143,1139.33333333333
0.144,1143
0.145,1135.66666666667
0.146,1143
0.147,1142
0.148,1137.33333333333
0.149,1139
0.15,1135
0.151,1140.66666666667
0.152,1139.33333333333
0.153,1140.66666666667
0.154,1139
0.155,1143.33333333333
0.156,1137.66666666667
0.157,1136.66666666667
0.158,1144
0.159,1142.33333333333
0.16,1143.33333333333
0.161,1140
0.162,1141.66666666667
0.163,1144.33333333333
0.164,1143.33333333333
0.165,1138
0.166,1141.66666666667
0.167,1136.66666666667
0.168,1145
0.169,1136.66666666667
0.17,1142
