t_s,ADC_mean
0,206.666666666667
0.001,208
0.002,204.333333333333
0.003,209
0.004,207.333333333333
0.005,207
0.006,209
0.007,206
0.008,207.666666666667
0.009,204.333333333333
0.01,206.666666666667
0.011,208
0.012,207.666666666667
0.013,209.333333333333
0.014,207
0.015,208.666666666667
0.016,209
0.017,207.666666666667
0.018,207
0.019,210.666666666667
0.02,204.666666666667
0.021,207.666666666667
0.022,207.666666666667
0.023,210
0.024,209.333333333333
0.025,207.666666666667
0.026,208.333333333333
0.027,208.333333333333
0.028,211.333333333333
0.029,210
0.03,209
0.031,211.333333333333
0.032,210.333333333333
0.033,210.333333333333
0.034,210
0.035,209
0.036,208.666666666667
0.037,209.666666666667
0.038,208.666666666667
0.039,208
0.04,210
0.041,210.666666666667
0.042,208
0.043,209
0.044,207
0.045,209
0.046,207.333333333333
0.047,208.666666666667
0.048,205.666666666667
0.049,210.666666666667
0.05,210
0.051,207
0.052,209.666666666667
0.053,208.333333333333
0.054,209
0.055,206
0.056,205.666666666667
0.057,209.666666666667
0.058,207
0.059,209.666666666667
0.06,207.333333333333
0.061,207
0.062,208.333333333333
0.063,209.666666666667
0.064,207
0.065,210
0.066,209.666666666667
0.067,209.333333333333
0.068,207
0.069,209.333333333333
0.07,209.666666666667
0.071,209
0.072,208
0.073,208.333333333333
0.074,204.666666666667
0.075,210.333333333333
0.076,207.333333333333
0.077,206
0.078,208.666666666667
0.079,208.333333333333
0.08,208.333333333333
0.081,207.666666666667
0.082,207
0.083,206.333333333333
0.084,211.333333333333
0.085,207
0.086,207
0.087,208.666666666667
0.088,209
0.089,208.333333333333
0.09,208.666666666667
0.091,205.333333333333
0.092,209.333333333333
0.093,209
0.094,209
0.095,208
0.096,209
0.097,209.666666666667
0.098,208.666666666667
0.099,210.666666666667
0.1,210
0.101,208.333333333333
0.102,209.666666666667
0.103,206
0.104,208
0.105,209.333333333333
0.106,212
0.107,210.333333333333
0.108,209
0.109,209.666666666667
0.11,209
0.111,208
0.112,209
0.113,209
0.114,207.333333333333
0.115,208
0.116,210
0.117,208.666666666667
0.118,205.666666666667
0.119,208.333333333333
0.12,209.333333333333
0.121,208
0.122,207
0.123,208.333333333333
0.124,205.333333333333
0.125,209.333333333333
0.126,209.666666666667
0.127,208.666666666667
0.128,210
0.129,208.666666666667
0.13,206.666666666667
0.131,210
0.132,208.666666666667
0.133,206.666666666667
0.134,208
0.135,211
0.136,211
0.137,205.333333333333
0.138,207.333333333333
0.139,207.666666666667
0.14,209.333333333333
0.141,209.666666666667
0.142,208
0.143,205
0.144,208
0.145,207.333333333333
0.146,208.666666666667
0.147,207.666666666667
0.148,209
0.149,205.666666666667
0.15,208
0.151,210
0.152,208.666666666667
0.153,207.666666666667
0.154,208
0.155,211.666666666667
0.156,209.666666666667
0.157,210.333333333333
0.158,207
0.159,207.333333333333
0.16,208.333333333333
0.161,208
0.162,208.333333333333
0.163,207.333333333333
0.164,208.666666666667
0.165,204.666666666667
0.166,208.666666666667
0.167,207.333333333333
0.168,206
0.169,208.666666666667
0.17,208
0.171,206.666666666667
0.172,208.333333333333
0.173,209.666666666667
0.174,208.666666666667
0.175,207.333333333333
0.176,210
0.177,209
0.178,209.333333333333
0.179,209.666666666667
0.18,210.666666666667
0.181,207.666666666667
0.182,208
0.183,208.333333333333
0.184,208.666666666667
0.185,208
0.186,206.666666666667
0.187,208
0.188,206
0.189,208.333333333333
0.19,208
0.191,209
0.192,210
0.193,207.333333333333
0.194,208.666666666667
0.195,208.333333333333
0.196,207.333333333333
0.197,207.666666666667
0.198,208
0.199,207.666666666667
0.2,208
0.201,207.666666666667
0.202,209.666666666667
0.203,207
0.204,210.666666666667
0.205,208.666666666667
0.206,207
0.207,206.666666666667
0.208,208
0.209,205
0.21,211.666666666667
0.211,208.333333333333
0.212,207
0.213,209.333333333333
0.214,209
0.215,209.333333333333
0.216,208.666666666667
0.217,209
0.218,205.666666666667
0.219,207.666666666667
0.22,208
0.221,208.333333333333
0.222,208.333333333333
0.223,207.333333333333
0.224,209.333333333333
0.225,207.666666666667
0.226,209.666666666667
0.227,209
0.228,207.666666666667
0.229,209.666666666667
0.23,208.333333333333
