t_s,ADC_mean
0,1906.66666666667
0.001,1899
0.002,1887
0.003,1899
0.004,1894.66666666667
0.005,1891
0.006,1896.66666666667
0.007,1890
0.008,1897.33333333333
0.009,1895.33333333333
0.01,1899.66666666667
0.011,1891.33333333333
0.012,1896
0.013,1894
0.014,1898.33333333333
0.015,1896
0.016,1891.66666666667
0.017,1898
0.018,1892.33333333333
0.019,1894.66666666667
0.02,1893
0.021,1890
0.022,1895.33333333333
0.023,1890.33333333333
0.024,1893.33333333333
0.025,1889.33333333333
0.026,1894
0.027,1893.66666666667
0.028,1894.33333333333
0.029,1890.33333333333
0.03,1890
0.031,1892.33333333333
0.032,1889
0.033,1888.33333333333
0.034,1886.33333333333
0.035,1886.66666666667
0.036,1888.33333333333
0.037,1889
0.038,1888.33333333333
0.039,1892.66666666667
0.04,1888.33333333333
0.041,1895
0.042,1890
0.043,1895.66666666667
0.044,1892.33333333333
0.045,1893.33333333333
0.046,1896.66666666667
0.047,1887.33333333333
0.048,1890
0.049,1893
0.05,1890.33333333333
0.051,1893
0.052,1890.66666666667
0.053,1889
0.054,1892.66666666667
0.055,1898.66666666667
0.056,1898.66666666667
0.057,1898.33333333333
0.058,1895
0.059,1886.33333333333
0.06,1889
0.061,1896
0.062,1883.33333333333
0.063,1888
0.064,1898.33333333333
0.065,1888
0.066,1887.66666666667
0.067,1896
0.068,1887.33333333333
0.069,1895.66666666667
0.07,1892
0.071,1887.33333333333
0.072,1885.66666666667
0.073,1890
0.074,1892
0.075,1896.33333333333
0.076,1890
0.077,1890
0.078,1888.66666666667
0.079,1883
0.08,1893
0.081,1892
0.082,1883
0.083,1890.66666666667
0.084,1892.33333333333
0.085,1887.66666666667
0.086,1889.66666666667
0.087,1891.66666666667
0.088,1898.33333333333
0.089,1895
0.09,1892
0.091,1893.66666666667
0.092,1888
0.093,1890.33333333333
0.094,1893
0.095,1891.33333333333
0.096,1890
0.097,1890
0.098,1890.66666666667
0.099,1890.33333333333
0.1,1888.66666666667
0.101,1896.66666666667
0.102,1890.66666666667
0.103,1892.33333333333
0.104,1893.66666666667
0.105,1892.66666666667
0.106,1892.33333333333
0.107,1893.33333333333
0.108,1896
0.109,1896
0.11,1893.33333333333
0.111,1888.66666666667
0.112,1891
0.113,1890.33333333333
0.114,1899
0.115,1889.33333333333
0.116,1893.66666666667
0.117,1884
0.118,1895.33333333333
0.119,1891
0.12,1898.33333333333
0.121,1886
0.122,1888.33333333333
0.123,1888
0.124,1892.33333333333
0.125,1888
0.126,1888.33333333333
0.127,1896.66666666667
0.128,1893
0.129,1888.66666666667
0.13,1890.66666666667
0.131,1899.33333333333
0.132,1896.66666666667
0.133,1888.66666666667
0.134,1889
0.135,1896
0.136,1890.33333333333
0.137,1889.33333333333
0.138,1886
0.139,1889.66666666667
0.14,1892.66666666667
0.141,1892
0.142,1893.33333333333
0.143,1894.33333333333
0.144,1889.33333333333
0.145,1891.66666666667
0.146,1890
0.147,1891.33333333333
0.148,1888.66666666667
0.149,1894.33333333333
0.15,1889.33333333333
0.151,1890.33333333333
0.152,1891
0.153,1891
0.154,1884.66666666667
0.155,1890.33333333333
0.156,1889.66666666667
0.157,1891
0.158,1896
0.159,1888.33333333333
0.16,1893.33333333333
0.161,1898
0.162,1895.66666666667
0.163,1885.66666666667
0.164,1886.33333333333
0.165,1889.66666666667
0.166,1898
0.167,1886.33333333333
0.168,1892.33333333333
0.169,1881.33333333333
0.17,1892.33333333333
0.171,1890
0.172,1894.66666666667
0.173,1891.66666666667
0.174,1894.33333333333
0.175,1894
0.176,1890.66666666667
0.177,1889.33333333333
0.178,1892.33333333333
0.179,1893
0.18,1895.33333333333
0.181,1886
0.182,1888.33333333333
0.183,1889
0.184,1890.66666666667
0.185,1894
0.186,1891
0.187,1886
0.188,1896.33333333333
0.189,1889.66666666667
0.19,1888.66666666667
0.191,1889.33333333333
0.192,1893
0.193,1889
0.194,1887
0.195,1893
0.196,1890.33333333333
0.197,1890.33333333333
0.198,1890.33333333333
0.199,1891.33333333333
0.2,1891.33333333333
0.201,1887
0.202,1891
0.203,1893.33333333333
0.204,1894.66666666667
0.205,1887.66666666667
0.206,1894
0.207,1887.33333333333
0.208,1889
0.209,1892.33333333333
0.21,1891.33333333333
0.211,1897
0.212,1893
0.213,1888.66666666667
0.214,1891
0.215,1888.33333333333
0.216,1890.33333333333
0.217,1888.66666666667
0.218,1895
0.219,1897.66666666667
0.22,1898
0.221,1893
0.222,1890
0.223,1892
0.224,1892.66666666667
0.225,1890.33333333333
0.226,1891.33333333333
0.227,1888.66666666667
0.228,1895.33333333333
0.229,1888
0.23,1890
0.231,1891.33333333333
0.232,1893.33333333333
0.233,1889
0.234,1888.33333333333
0.235,1888.33333333333
0.236,1890.33333333333
0.237,1888.33333333333
0.238,1890.33333333333
0.239,1887.33333333333
0.24,1890
0.241,1891
0.242,1887
0.243,1891.33333333333
0.244,1893
0.245,1891
0.246,1884
0.247,1896
0.248,1892.66666666667
0.249,1892
0.25,1893
0.251,1891.33333333333
0.252,1891.66666666667
0.253,1888
0.254,1887.66666666667
0.255,1886.33333333333
0.256,1888.33333333333
0.257,1891
0.258,1883.66666666667
0.259,1893.33333333333
0.26,1891
0.261,1891.66666666667
0.262,1892
0.263,1891.33333333333
0.264,1895
0.265,1889.33333333333
0.266,1894
0.267,1892
0.268,1894.33333333333
0.269,1889
0.27,1890.33333333333
0.271,1889.66666666667
0.272,1889
0.273,1889.33333333333
0.274,1892
0.275,1889.66666666667
0.276,1888
0.277,1890
0.278,1893
0.279,1895.33333333333
0.28,1891
0.281,1888
0.282,1891
0.283,1889
0.284,1886.66666666667
0.285,1890.66666666667
0.286,1892.33333333333
0.287,1899
0.288,1893.66666666667
0.289,1892.66666666667
0.29,1884.33333333333
0.291,1890
0.292,1893.66666666667
0.293,1889.66666666667
0.294,1893
0.295,1891.66666666667
0.296,1890.66666666667
0.297,1888
0.298,1888.33333333333
0.299,1892
0.3,1890
0.301,1897.66666666667
0.302,1891
0.303,1888.33333333333
0.304,1883.33333333333
0.305,1890.33333333333
0.306,1888
0.307,1890.66666666667
0.308,1890
0.309,1893
0.31,1891.66666666667
0.311,1887.33333333333
0.312,1893.66666666667
0.313,1889
0.314,1895.66666666667
0.315,1893
0.316,1889
0.317,1891
0.318,1884.66666666667
0.319,1889.66666666667
0.32,1891.66666666667
0.321,1891.66666666667
0.322,1890
0.323,1889.66666666667
0.324,1894
0.325,1888.66666666667
0.326,1892.33333333333
0.327,1890.66666666667
0.328,1892
0.329,1897.66666666667
0.33,1895.66666666667
0.331,1891.66666666667
0.332,1887.66666666667
0.333,1888.66666666667
0.334,1895.33333333333
0.335,1888.66666666667
0.336,1894.33333333333
0.337,1884
0.338,1887
0.339,1891.33333333333
