t_s,ADC_mean
0,1174.66666666667
0.001,1161.66666666667
0.002,1160
0.003,1159.66666666667
0.004,1160.33333333333
0.005,1162.66666666667
0.006,1163.33333333333
0.007,1161.66666666667
0.008,1162
0.009,1165.66666666667
0.01,1157.66666666667
0.011,1168.66666666667
0.012,1157
0.013,1165.33333333333
0.014,1164
0.015,1162
0.016,1160
0.017,1165.66666666667
0.018,1159.66666666667
0.019,1156.66666666667
0.02,1165
0.021,1155.66666666667
0.022,1162.66666666667
0.023,1164.33333333333
0.024,1162
0.025,1160.33333333333
0.026,1162.66666666667
0.027,1160
0.028,1157.66666666667
0.029,1157
0.03,1159.33333333333
0.031,1160.33333333333
0.032,1161.66666666667
0.033,1164.66666666667
0.034,1156.66666666667
0.035,1154.66666666667
0.036,1158
0.037,1162
0.038,1164
0.039,1160
0.04,1161.33333333333
0.041,1154.66666666667
0.042,1161
0.043,1166
0.044,1161.66666666667
0.045,1159.33333333333
0.046,1155.33333333333
0.047,1160.66666666667
0.048,1158
0.049,1157.33333333333
0.05,1154
0.051,1155.33333333333
0.052,1158
0.053,1161.66666666667
0.054,1162.33333333333
0.055,1164
0.056,1158.66666666667
0.057,1160.66666666667
0.058,1162
0.059,1161
0.06,1158
0.061,1159.33333333333
0.062,1163.66666666667
0.063,1161.33333333333
0.064,1167.66666666667
0.065,1156.66666666667
0.066,1158
0.067,1159.66666666667
0.068,1159.33333333333
0.069,1160.66666666667
0.07,1159
0.071,1159.33333333333
0.072,1161.66666666667
0.073,1157.66666666667
0.074,1160
0.075,1159
0.076,1162.66666666667
0.077,1156.66666666667
0.078,1158.66666666667
0.079,1161
0.08,1155.66666666667
0.081,1157.33333333333
0.082,1158.66666666667
0.083,1159.33333333333
0.084,1161.66666666667
0.085,1154.66666666667
0.086,1162
0.087,1162.33333333333
0.088,1159.33333333333
0.089,1162.66666666667
0.09,1163
0.091,1160.66666666667
0.092,1160
0.093,1157
0.094,1163.66666666667
0.095,1161.66666666667
0.096,1157
0.097,1156.66666666667
0.098,1159.66666666667
0.099,1160.66666666667
0.1,1159.33333333333
0.101,1152.33333333333
0.102,1166
0.103,1165.33333333333
0.104,1157.33333333333
0.105,1157.33333333333
0.106,1159.33333333333
0.107,1161.66666666667
0.108,1159.66666666667
0.109,1159.33333333333
0.11,1156.66666666667
0.111,1167
0.112,1157.66666666667
0.113,1159
0.114,1163.66666666667
0.115,1161
0.116,1160.33333333333
0.117,1158.33333333333
0.118,1160.33333333333
0.119,1161.33333333333
0.12,1156.33333333333
0.121,1162.66666666667
0.122,1163.33333333333
0.123,1166.66666666667
0.124,1163
0.125,1161.66666666667
0.126,1158
0.127,1163.33333333333
0.128,1157.33333333333
0.129,1154.66666666667
0.13,1163
0.131,1161
0.132,1163.66666666667
0.133,1153.66666666667
0.134,1158
0.135,1154
0.136,1154.66666666667
0.137,1157.33333333333
0.138,1161.66666666667
0.139,1158
0.14,1160.33333333333
0.141,1156
0.142,1157.66666666667
0.143,1163.66666666667
0.144,1159.66666666667
0.145,1162
0.146,1158
0.147,1165
0.148,1160.66666666667
0.149,1158.33333333333
0.15,1158
0.151,1158.66666666667
0.152,1155.33333333333
0.153,1164.66666666667
0.154,1157
0.155,1157.33333333333
0.156,1157
0.157,1162
0.158,1156.66666666667
0.159,1154
0.16,1156.33333333333
0.161,1160.66666666667
0.162,1160.66666666667
0.163,1161
0.164,1161.33333333333
0.165,1160.33333333333
0.166,1162
0.167,1161
0.168,1158
0.169,1162.33333333333
0.17,1160.66666666667
0.171,1165
0.172,1159.33333333333
0.173,1158.33333333333
0.174,1158.33333333333
0.175,1162.66666666667
0.176,1153.66666666667
0.177,1161.33333333333
0.178,1157.33333333333
0.179,1155.66666666667
0.18,1158.66666666667
0.181,1159.33333333333
0.182,1159.66666666667
0.183,1157
0.184,1159.66666666667
0.185,1160.33333333333
0.186,1165
0.187,1160
0.188,1158.33333333333
0.189,1161
0.19,1160.66666666667
0.191,1161.33333333333
0.192,1162.33333333333
0.193,1161
0.194,1158.33333333333
0.195,1156.33333333333
0.196,1165
0.197,1159.66666666667
0.198,1163.33333333333
0.199,1164
0.2,1167
0.201,1166
0.202,1159.33333333333
0.203,1162.33333333333
0.204,1161
0.205,1157.66666666667
0.206,1164.33333333333
0.207,1159
0.208,1159.33333333333
0.209,1158.33333333333
0.21,1159.66666666667
0.211,1161.66666666667
0.212,1159.33333333333
0.213,1160.66666666667
0.214,1158.66666666667
0.215,1162
0.216,1156.66666666667
0.217,1154.33333333333
0.218,1162.33333333333
0.219,1160.33333333333
0.22,1160.66666666667
0.221,1156.66666666667
0.222,1161.66666666667
0.223,1163
0.224,1157
0.225,1162.66666666667
0.226,1156.33333333333
0.227,1163.33333333333
0.228,1153.33333333333
