t,y
0,1894
0.001,1893
0.002,1872
0.003,1875
0.004,1880
0.005,1887
0.006,1878
0.007,1875
0.008,1884
0.009,1883
0.01,1891
0.011,1878
0.012,1887
0.013,1888
0.014,1886
0.015,1879
0.016,1877
0.017,1883
0.018,1883
0.019,1876
0.02,1876
0.021,1887
0.022,1884
0.023,1887
0.024,1882
0.025,1893
0.026,1883
0.027,1883
0.028,1885
0.029,1884
0.03,1879
0.031,1889
0.032,1880
0.033,1876
0.034,1876
0.035,1877
0.036,1881
0.037,1876
0.038,1879
0.039,1887
0.04,1882
0.041,1884
0.042,1872
0.043,1876
0.044,1883
0.045,1883
0.046,1884
0.047,1880
0.048,1879
0.049,1883
0.05,1878
0.051,1883
0.052,1882
0.053,1883
0.054,1877
0.055,1880
0.056,1897
0.057,1887
0.058,1885
0.059,1874
0.06,1871
0.061,1888
0.062,1875
0.063,1877
0.064,1887
0.065,1876
0.066,1882
0.067,1884
0.068,1878
0.069,1888
0.07,1881
0.071,1875
0.072,1879
0.073,1880
0.074,1877
0.075,1894
0.076,1873
0.077,1887
0.078,1875
0.079,1871
0.08,1883
0.081,1886
0.082,1876
0.083,1884
0.084,1891
0.085,1881
0.086,1881
0.087,1873
0.088,1885
0.089,1890
0.09,1887
0.091,1890
0.092,1873
0.093,1876
0.094,1888
0.095,1879
0.096,1883
0.097,1873
0.098,1880
0.099,1879
0.1,1885
0.101,1892
0.102,1882
0.103,1876
0.104,1884
0.105,1887
0.106,1881
0.107,1878
0.108,1884
0.109,1892
0.11,1883
0.111,1880
0.112,1887
0.113,1885
0.114,1888
0.115,1881
0.116,1887
0.117,1873
0.118,1878
0.119,1884
0.12,1889
0.121,1877
0.122,1878
0.123,1882
0.124,1884
0.125,1879
0.126,1878
0.127,1887
0.128,1887
0.129,1890
0.13,1886
0.131,1891
0.132,1882
0.133,1878
0.134,1877
0.135,1881
0.136,1880
0.137,1885
0.138,1875
0.139,1876
0.14,1887
0.141,1874
0.142,1873
0.143,1883
0.144,1879
0.145,1885
0.146,1878
0.147,1874
0.148,1881
0.149,1883
0.15,1873
0.151,1879
0.152,1881
0.153,1878
0.154,1880
0.155,1878
0.156,1885
0.157,1883
0.158,1884
0.159,1877
0.16,1886
0.161,1886
0.162,1890
0.163,1877
0.164,1880
0.165,1877
0.166,1887
0.167,1874
0.168,1875
0.169,1869
0.17,1881
0.171,1884
0.172,1878
0.173,1884
0.174,1887
0.175,1876
0.176,1886
0.177,1874
0.178,1879
0.179,1876
0.18,1889
0.181,1874
0.182,1880
0.183,1880
0.184,1879
0.185,1886
0.186,1875
0.187,1872
0.188,1887
0.189,1877
0.19,1883
0.191,1877
0.192,1886
0.193,1878
0.194,1883
0.195,1877
0.196,1879
0.197,1882
0.198,1886
0.199,1885
0.2,1887
0.201,1881
0.202,1879
0.203,1883
0.204,1891
0.205,1874
0.206,1881
0.207,1871
0.208,1880
0.209,1887
0.21,1880
0.211,1891
0.212,1883
0.213,1877
0.214,1887
0.215,1879
0.216,1885
0.217,1887
0.218,1883
0.219,1895
0.22,1888
0.221,1879
0.222,1872
0.223,1881
0.224,1883
0.225,1871
0.226,1875
0.227,1875
0.228,1882
0.229,1886
0.23,1878
0.231,1883
0.232,1881
0.233,1877
0.234,1880
0.235,1888
0.236,1892
0.237,1886
0.238,1884
0.239,1874
0.24,1875
0.241,1878
0.242,1878
0.243,1883
0.244,1883
0.245,1875
0.246,1875
0.247,1889
0.248,1878
0.249,1886
0.25,1884
0.251,1886
0.252,1880
0.253,1872
0.254,1876
0.255,1877
0.256,1879
0.257,1875
0.258,1873
0.259,1885
0.26,1884
0.261,1883
0.262,1882
0.263,1887
0.264,1881
0.265,1876
0.266,1886
0.267,1886
0.268,1888
0.269,1883
0.27,1883
0.271,1878
0.272,1878
0.273,1879
0.274,1870
0.275,1886
0.276,1883
0.277,1881
0.278,1877
0.279,1885
0.28,1888
0.281,1874
0.282,1875
0.283,1885
0.284,1876
0.285,1877
0.286,1875
0.287,1889
0.288,1886
0.289,1885
0.29,1876
0.291,1888
0.292,1880
0.293,1879
0.294,1881
0.295,1885
0.296,1887
0.297,1875
0.298,1884
0.299,1877
0.3,1885
0.301,1885
0.302,1880
0.303,1879
0.304,1877
0.305,1872
0.306,1878
0.307,1879
0.308,1881
0.309,1885
0.31,1882
0.311,1872
0.312,1886
0.313,1877
0.314,1887
0.315,1884
0.316,1876
0.317,1886
0.318,1879
0.319,1880
0.32,1887
0.321,1880
0.322,1876
0.323,1888
0.324,1878
0.325,1882
0.326,1887
0.327,1885
0.328,1889
0.329,1895
0.33,1878
0.331,1884
0.332,1882
0.333,1871
0.334,1878
0.335,1876
0.336,1879
0.337,1873
0.338,1880
0.339,1880
0.34,1876
0.341,1878
0.342,1887
0.343,1881
0.344,1875
0.345,1892
0.346,1882
0.347,1881
0.348,1889
0.349,1878
0.35,1892
0.351,1876
0.352,1873
0.353,1876
0.354,1873
0.355,1882
0.356,1873
0.357,1877
0.358,1886
0.359,1887
0.36,1878
0.361,1880
0.362,1877
0.363,1878
0.364,1882
0.365,1887
0.366,1876
0.367,1876
0.368,1891
0.369,1883
0.37,1878
0.371,1889
0.372,1890
0.373,1888
0.374,1876
0.375,1881
0.376,1890
0.377,1889
0.378,1877
0.379,1879
0.38,1880
0.381,1879
0.382,1877
0.383,1880
0.384,1884
0.385,1885
0.386,1882
0.387,1882
0.388,1886
0.389,1886
0.39,1887
0.391,1881
0.392,1875
0.393,1873
0.394,1884
0.395,1887
0.396,1878
0.397,1884
0.398,1883
0.399,1878
0.4,1893
0.401,1880
0.402,1876
0.403,1879
0.404,1884
0.405,1886
0.406,1885
0.407,1873
0.408,1885
0.409,1884
0.41,1884
0.411,1879
0.412,1876
0.413,1887
0.414,1888
0.415,1878
0.416,1886
0.417,1881
0.418,1881
0.419,1876
0.42,1873
0.421,1886
0.422,1883
0.423,1875
0.424,1883
0.425,1883
0.426,1876
0.427,1885
0.428,1878
0.429,1885
0.43,1885
0.431,1880
0.432,1890
0.433,1875
0.434,1886
0.435,1881
0.436,1885
0.437,1876
0.438,1875
0.439,1877
0.44,1879
0.441,1888
0.442,1885
0.443,1874
0.444,1888
0.445,1889
0.446,1876
0.447,1890
0.448,1873
0.449,1879
0.45,1885
0.451,1873
0.452,1891
0.453,1894
0.454,1874
0.455,1878
0.456,1877
0.457,1878
0.458,1881
0.459,1875
0.46,1885
0.461,1885
0.462,1880
0.463,1864
0.464,1871
0.465,1889
0.466,1886
0.467,1884
0.468,1874
0.469,1874
0.47,1873
0.471,1877
0.472,1890
0.473,1877
0.474,1875
0.475,1887
0.476,1885
0.477,1888
0.478,1889
0.479,1875
0.48,1879
0.481,1881
0.482,1874
0.483,1881
0.484,1882
0.485,1889
0.486,1885
0.487,1886
0.488,1879
0.489,1877
0.49,1878
0.491,1886
0.492,1878
0.493,1884
0.494,1878
0.495,1887
0.496,1885
0.497,1887
0.498,1881
0.499,1882
0.5,1888
0.501,1874
0.502,1878
0.503,1886
0.504,1881
0.505,1884
0.506,1874
0.507,1887
0.508,1884
0.509,1875
0.51,1888
0.511,1879
0.512,1874
0.513,1881
0.514,1879
0.515,1883
0.516,1882
0.517,1883
0.518,1880
0.519,1882
0.52,1882
0.521,1891
0.522,1886
0.523,1887
0.524,1880
0.525,1882
0.526,1872
0.527,1882
0.528,1873
0.529,1873
0.53,1878
0.531,1887
0.532,1888
0.533,1879
0.534,1881
0.535,1887
0.536,1882
0.537,1870
0.538,1887
0.539,1884
0.54,1881
0.541,1875
0.542,1881
0.543,1878
0.544,1880
0.545,1886
0.546,1889
0.547,1884
0.548,1890
0.549,1879
0.55,1886
0.551,1879
0.552,1879
0.553,1883
0.554,1889
0.555,1882
0.556,1879
0.557,1886
0.558,1882
0.559,1887
0.56,1889
0.561,1886
0.562,1871
0.563,1889
0.564,1875
0.565,1883
0.566,1868
0.567,1868
0.568,1877
0.569,1879
0.57,1887
0.571,1890
0.572,1875
0.573,1874
0.574,1876
0.575,1887
0.576,1887
0.577,1886
0.578,1884
0.579,1883
0.58,1891
0.581,1884
0.582,1878
0.583,1877
0.584,1886
0.585,1878
0.586,1883
0.587,1885
0.588,1876
0.589,1890
0.59,1890
0.591,1870
0.592,1885
0.593,1887
0.594,1889
0.595,1883
0.596,1891
0.597,1878
0.598,1880
0.599,1875
0.6,1885
0.601,1882
0.602,1874
0.603,1873
0.604,1873
0.605,1880
0.606,1887
0.607,1884
0.608,1880
0.609,1874
0.61,1883
0.611,1876
0.612,1876
0.613,1883
0.614,1884
0.615,1876
0.616,1877
0.617,1881
0.618,1886
0.619,1885
0.62,1883
0.621,1887
0.622,1880
0.623,1880
0.624,1888
0.625,1878
0.626,1883
0.627,1884
0.628,1881
0.629,1879
0.63,1881
0.631,1894
0.632,1882
0.633,1892
0.634,1885
0.635,1885
0.636,1884
0.637,1878
0.638,1885
0.639,1874
0.64,1885
0.641,1882
0.642,1877
0.643,1882
0.644,1883
0.645,1877
0.646,1879
0.647,1889
0.648,1895
0.649,1887
0.65,1886
0.651,1882
0.652,1875
0.653,1894
0.654,1883
0.655,1881
0.656,1881
0.657,1884
0.658,1871
0.659,1873
0.66,1887
0.661,1874
0.662,1886
0.663,1891
0.664,1890
0.665,1891
0.666,1874
0.667,1876
0.668,1877
0.669,1871
0.67,1880
0.671,1889
0.672,1889
0.673,1875
0.674,1887
0.675,1888
0.676,1883
0.677,1869
0.678,1874
0.679,1881
0.68,1890
0.681,1874
0.682,1881
0.683,1882
0.684,1876
0.685,1872
